username,rating,comment,date;;;;
"C D,3,""promonya menarik. tp aplikasinya sorry to say. jelek banget. ga responsif. banyak nge lag, banyak pop up ga jelas. Mostly masalah terbesar laggy. padahal hp termasuk mid end. benerin developer nya atau mungkin hire yang lebih professional"",2025-12-31 09:44:36";;;;
"A San,1,""errrrroorrr bosss, gk ada opsi jssa kirim, apl. angsung mental ke awal halaman"",2025-12-31 09:38:02";;;;
Gunawan Fu,5,good marketplace,2025-12-31 09:36:22;;;;
"Rabiatul Adawiyah,2,""Pengirimannya lama bngt, bisa berbulan² baru dtng. Ganti ekspedisi aja deh shopee"",2025-12-31 09:01:56";;;;
Burhan amrulloh,5,ok,2025-12-31 08:48:18;;;;
Misa Kyu,1,sangat tak memuaskan pengiriman dari jam 7 pagi baru sampai jam 22.23 bahkan kadang barang yang di antarkan rusak.kalau selalu begini shopee hanya selalu menurun kinerjanya bahkan sekarang spx pengirimannya sangat lamban,2025-12-31 08:29:43;;;;
Willy Horizont,1,kirim video di chat 30MB doang lama banget!!!,2025-12-31 08:18:59;;;;
nararya reynand,5,more easy,2025-12-31 07:53:18;;;;
"Ryo Shu,2,""tiap buka awal, video auto play dan nyangkut di situ, meski udah di tutup/buka aplikasi lain masih aja jalan, saya masul shopee buat beli barang bukan nonton orang joget2 gak jelas"",2025-12-31 07:36:46";;;;
Shafiyah Shabira,1,Iklannya di mana mana dan sangat mengganggu,2025-12-31 07:27:58;;;;
Wahyu Setio Abdi,5,good,2025-12-31 06:18:00;;;;
Darwanto Aki,5,Mantab. semoga makin baik,2025-12-31 06:11:10;;;;
felli78,5,easy to use,2025-12-31 05:06:15;;;;
Hanny Sri Mulyani,5,bagus dan cepat sampai tujuan,2025-12-31 04:51:06;;;;
"Psycho The Rapist,1,""Bought a product, paid with a debit card -> Order cancelled by the seller due to the product being out of stock -> Payment refunded to shopeepay instead of the original payment method (?) -> Tried to transfer my money back to my debit card, says I need to """"Upgrade to Shopee Pay Plus"""" (?????????????) my dude, that's my refund. It shouldn't matter whether I have spayplus or not, either reverse it back to the original payment method or let me transfer it without spayplus, get it together shopee"",2025-12-31 04:14:50";;;;
Budi Suhendar,5,Nyaman dan terpercaya,2025-12-31 00:56:30;;;;
Muhammad Toha,5,oke,2025-12-31 00:45:35;;;;
"selena isaura,1,""IKLANN LO KEK TAIII TAU GAA, pas iklan lo muncul tiba"""" pindah app ke shopee, GANGGU BNGETT SUMPAAH"",2025-12-30 23:43:04";;;;
Abu Atikah,5,recommended,2025-12-30 22:19:59;;;;
"nico pranoto,3,""Sebagai pembeli, promo diskon dan ongkir shopee memang sangat menarik. Namun, searching shopee sangat melelahkan dan membuang waktu. Seperti saya mau beli barang x dari penjual x, hasil yang ditampilkan beberapa barang sejenis dan barang yang tidak berhubungan dengan pencarian saat ini. Parahnya penjual x yang dicari tidak ditemukan walau sudah scrolling 10-20 menit lebih. Untuk cari barang x atau penjual x harus search lewat google dahulu. Ribet dan capek"",2025-12-30 22:12:24";;;;
"lie yohanes,1,""List pengalaman buruk kami selama jualan di shopee - BANYAK OKNUM CS YG ASAL DALAM TANGANI KOMPLAIN YG MERUGIKAN PENJUAL - ADA MASALAH PENGIRIMAN GAK BISA BANTU BERESKAN - SISTEM PENGEMBALIAN SHOPEE SERING DIMANFAATKAN OLEH MALING DI SHOPEE ITU KARENA POINT PERTAMA DIATAS - BELAKANGAN INI MULAI BANYAK PENCURI YANG BELI AKUN DRIVER SHOPEE ATAU PENCURI DAFTAR JADI DRIVER SHOPEE. DAN SEKALIA LAGI KARENA POIN PERTAMA, SELLER YG JADI KAMBING HITAM NANGGUNG KERUGIAN. - TO BE CONTINUE"",2025-12-30 21:56:35";;;;
Muhammad Anindya Suryo Adiningrat,1,want to change phone number you can't do it there is an error,2025-12-30 19:20:27;;;;
Andreas Duwi Arianto,5,Excellent e commerce,2025-12-30 19:09:56;;;;
raimarz 2,1,Pihak shopee melakukan pengecekan dalam pengembalian barang secara tidak adil. saya sudah menyerahkan alasan dan bukti yg jelas tetapi tetap saja berpihak ke penjual yg menjual barang cacat dengan fungsi yg error.,2025-12-30 18:53:27;;;;
"Christianto Al,1,""Saya sudah mengajukan komplain pada tanggal 28 Desember 2025 tapi secara sepihak dibatalkan oleh Shopee dengan alasan yang tidak jelas hanya menyebutkan """"bukti tidak valid"""". Padahal sudah jelas disini saya menjadi korban penipuan dan sudah melampirkan bukti video unboxing dan foto produk, tapi pihak Shopee secara sepihak menolak klaim dan mencairkan dana penuh kepada penjual. Shopee sudah berafiliasi dengan pihak yang diduga melakukan tindak pidana penipuan."",2025-12-30 18:49:37";;;;
yeni sulistyani,5,Good 👍🏻,2025-12-30 18:41:31;;;;
"Yana Ivory,5,""Complete, supports various payments, and can pay any bill.."",2025-12-30 18:22:03";;;;
Rifqie Muhammad,5,Alternate Marketplace if your device don't recognize it. Very good,2025-12-30 18:08:31;;;;
"Ilham Dwi Putra,1,""tolong dibenahi!, kebiasaan kalo pesan, pembayarannya transfer atau cod(cek dulu), pasti barangnya lama dateng. masa paket udah lewat 5 hari estimasi belum nyampe. ayolah, tlong dibenahi sistem pengirimannya."",2025-12-30 17:35:03";;;;
"Dava Da Amour,2,""pengiriman selalu tidak tepat waktu jadi males belanja di sini lagi, padahal dulu enak enak aja"",2025-12-30 17:13:41";;;;
abdan syakuran,5,Very good apps!,2025-12-30 16:53:13;;;;
Tonny M,5,sangat puas atas pelayanan shoope terima kasih,2025-12-30 16:49:29;;;;
